,id,room_type,neighbourhood,price,review_scores_rating,review_scores_cleanliness,review_scores_communication
0,10595,Entire home/apt,"Athens, Attica, Greece",108.0,4.86,4.85,4.9
1,10990,Entire home/apt,"Athens, Attica, Greece",136.0,4.82,4.86,4.9
2,10993,Entire home/apt,"Athens, Attica, Greece",67.0,4.83,4.94,4.98
3,10995,Entire home/apt,"Athens, Attica, Greece",78.0,4.81,4.9,4.87
4,27262,Entire home/apt,,58.0,4.84,4.96,4.96
5,33945,Entire home/apt,"Athens, Αττική, Greece",30.0,4.71,4.68,4.89
6,49489,Entire home/apt,"Athens, Αττική, Greece",206.0,4.68,4.68,4.87
7,60394,Entire home/apt,"Athens, Attica, Greece",50.0,4.97,4.94,4.97
8,133835,Entire home/apt,"Athens, Attica, Greece",70.0,4.59,4.52,4.74
9,154243,Entire home/apt,"Athens, Attica, Greece",65.0,4.71,4.66,4.89
10,155654,Entire home/apt,,70.0,4.77,4.83,4.78
11,179705,Entire home/apt,"Athens, Attica, Greece",45.0,4.12,4.08,4.59
12,240960,Entire home/apt,"Athens, Attica, Greece",125.0,4.87,4.82,4.87
13,270611,Entire home/apt,,50.0,4.64,4.67,4.8
14,270954,Entire home/apt,"Athens, Attica, Greece",107.0,4.74,4.88,4.92
15,270973,Entire home/apt,"Athens, Attica, Greece",107.0,4.97,4.9,4.97
16,306234,Entire home/apt,"Athens, Attica, Greece",414.0,4.98,4.98,4.99
17,308157,Entire home/apt,"Athens, Greece",65.0,4.5,4.5,5.0
18,350321,Entire home/apt,,56.0,4.65,4.87,4.74
19,361393,Entire home/apt,"Athens, Attica, Greece",90.0,4.69,4.79,4.84
20,401423,Entire home/apt,"Athens, Attica, Greece",90.0,4.91,4.87,5.0
21,408907,Entire home/apt,"Athens, Attica, Greece",65.0,4.88,4.91,4.96
22,469140,Entire home/apt,"Athens, Attica, Greece",141.0,4.78,4.89,4.89
23,470219,Entire home/apt,"Athens, Attica, Greece",125.0,4.86,4.95,4.86
24,474719,Entire home/apt,,50.0,4.76,4.91,4.92
25,484852,Entire home/apt,"Athens, Attica, Greece",33.0,4.88,4.7,4.85
26,484925,Entire home/apt,,260.0,4.92,4.95,4.85
27,485570,Entire home/apt,"Athens, Attica, Greece",40.0,4.52,4.48,4.65
28,496416,Entire home/apt,"Athens, Attica, Greece",92.0,4.63,4.88,4.63
29,496503,Entire home/apt,"Athens, Attica, Greece",200.0,4.9,5.0,4.8
30,496561,Entire home/apt,,120.0,4.91,4.87,4.83
31,498604,Entire home/apt,"Athens, Attica, Greece",50.0,4.55,4.5,4.78
32,502779,Entire home/apt,"Athens, Attica, Greece",481.0,4.78,4.82,4.87
33,502842,Entire home/apt,"Athens, Attica, Greece",92.0,4.88,4.88,5.0
34,536123,Entire home/apt,"Athens, Attica, Greece",72.0,4.65,4.88,4.91
